var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15,var16,var17,var18,var19,var20,var21,var22,var23,var24,var25,var26,var27,var28,var29,var30,var31,var32,var33,var34,var35,var36,var37,var38,var39,var40,var41,var42,var43,var44,var45,var46,var47,var48,var49,var50,var51,var52,var53,var54,var55,var56,var57,var58,var59,var60,var61,var62,var63,var64,var65,var66,var67,var68,var69,var70,var71,var72,var73,var74,var75,var76,var77,var78,var79,var80,var81,var82,var83,var84,var85,var86,var87,var88,var89,var90,var91,var92,var93,var94,var95,var96,var97,var98,var99,var100,var101,var102,var103,var104,var105,var106,var107,var108,var109,var110,var111,var112,var113,var114,var115,var116,var117,var118,var119,var120,var121,var122,var123,var124,var125,var126,,
0,78.7,90,60,0,-123456,78.4,64.4,0,0,0,6,78.7,90,60,0,-123456,78.6,64.4,0,0,0,6,79.5,90,60,0,-123456,79.2,64.4,0,0,0,5.35294,78.3,90,60,0,-123456,78.3,64.4,0,0,0,7,78.4,90,60,0,-123456,78.3,64.4,0,0,0,24.8654,78.5,64.4,64.9,62.7455,82.3,71.1,78.5,0,0,0,-123456,90,0,39.2,0,5.8,-33.4,0,-123456,0,0,0,-123456,-123456,5,7,0,50,63.8,77.3,77.5,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,6,-123456,5,25,-123456,8,0,0,-123456,4,0,-123456,0,NULL,NULL
0.0833333,74.6,90,60,0,-123456,74.9,64.4,0,0,0,6,74.5,90,60,0,-123456,76.2,64.4,0,0,0,5.57143,74.6,90,60,0,-123456,80.9,64.4,0,0,0,5,74.6,90,60,0,-123456,76.2,64.4,0,0,0,6.87273,75.3,90,60,0,-123456,75.3,64.4,0,0,0,24.9615,75.8,64.4,70.2,62.8638,70.6,70.3,75.8,0,0,0,-123456,90,0,36.6,0,16.7,-19.9,0,-123456,0,0,0,-123456,-123456,5,7,0,50,68,68,68,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,5,-123456,5,26,-123456,8,0,0,-123456,4,0,-123456,0,,
0.166667,74.6,90,60,0,-123456,74.5,64.4,0,0,0,6,74.5,90,60,0,-123456,74.8,64.4,0,0,0,5.43137,74.6,90,60,0,-123456,76,64.4,0,0,0,5,74.6,90,60,0,-123456,74.8,64.4,0,0,0,6,75.2,90,60,0,-123456,74.9,64.4,0,0,0,26,74.8,64.4,70.1,63.291,70.4,70.1,74.8,0,0,0,-123456,90,0,26.1,0,12.6,-13.5,0,-123456,0,0,0,-123456,-123456,5,7,0,50,68,68,68,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,5,-123456,5,26,-123456,8,0,0,-123456,4,0,-123456,0,,
0.25,74.7,90,60,0,-123456,74.4,64.4,0,0,0,6,74.5,90,60,0,-123456,74.5,64.4,0,0,0,6,74.6,90,60,0,-123456,75,64.4,0,0,0,5,74.7,90,60,0,-123456,74.6,64.4,0,0,0,6,75.2,90,60,0,-123456,74.8,64.4,0,0,0,25.6078,74.7,64.4,69.9,63.5655,70.5,70.1,74.7,0,0,0,-123456,90,0,29.1,0,25.4,-3.7,0,-123456,0,0,0,-123456,-123456,5,7,0,50,68,68,68,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,5,-123456,5,26,-123456,8,0,0,-123456,4,0,-123456,0,,
0.333333,74.8,90,60,0,-123456,74.4,64.4,0,0,0,6,74.6,90,60,0,-123456,74.4,64.4,0,0,0,6,74.8,90,60,0,-123456,74.7,64.4,0,0,0,5.52,74.9,90,60,0,-123456,74.5,64.4,0,0,0,6,75.2,90,60,0,-123456,74.7,64.4,0,0,0,25.9412,74.7,64.4,69.8,63.8228,70.5,70.1,74.7,0,0,0,-123456,90,0,27.3,0,26.6,-0.7,0,-123456,0,0,0,-123456,-123456,5,7,0,50,68,68,68,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,5,-123456,5,26,-123456,8,0,0,-123456,4,0,-123456,0,,
0.416667,74.9,90,60,0,-123456,74.4,64.4,0,0,0,6,74.6,90,60,0,-123456,74.4,64.4,0,0,0,5.75,74.9,90,60,0,-123456,74.7,64.4,0,0,0,5,74.9,90,60,0,-123456,74.6,64.4,0,0,0,6,75.2,90,60,0,-123456,74.7,64.4,0,0,0,24.8627,74.7,64.4,69.7,64.1,70.7,70.1,74.7,0,0,0,-123456,90,0,30.4,0,20.8,-9.6,0,-123456,0,0,0,-123456,-123456,5,7,0,50,68,68,68,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,6,-123456,5,25,-123456,8,0,0,-123456,4,0,-123456,0,,
0.5,74.9,90,60,0,-123456,74.5,64.4,0,0,0,6,74.7,90,60,0,-123456,74.5,64.4,0,0,0,5.76923,74.9,90,60,0,-123456,74.7,64.4,0,0,0,5,75,90,60,0,-123456,74.6,64.4,0,0,0,6,75.2,90,60,0,-123456,74.8,64.4,0,0,0,23.76,74.8,64.4,69.5,64.2745,70.9,70.1,74.8,0,0,0,-123456,90,0,35.2,0,17.4,-17.8,0,-123456,0,0,0,-123456,-123456,5,7,0,50,68,68,68,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,7,-123456,5,24,-123456,8,0,0,-123456,4,0,-123456,0,,
0.583333,74.9,90,60,0,-123456,74.5,64.4,0,0,0,6,74.7,90,60,0,-123456,74.5,64.4,0,0,0,6,75,90,60,0,-123456,74.8,64.4,0,0,0,5.2449,75,90,60,0,-123456,74.7,64.4,0,0,0,6,75.2,90,60,0,-123456,74.8,64.4,0,0,0,23,74.8,64.4,69.4,64.5517,71,70.1,74.8,0,0,0,-123456,90,0,30.2,0,26.6,-3.6,0,-123456,0,0,0,-123456,-123456,5,7,0,50,68,68,68,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,6,-123456,5,25,-123456,8,0,0,-123456,4,0,-123456,0,,
0.666667,74.9,90,60,0,-123456,74.5,64.4,0,0,0,6,74.8,90,60,0,-123456,74.5,64.4,0,0,0,5.88,75,90,60,0,-123456,74.8,64.4,0,0,0,5,75.1,90,60,0,-123456,74.7,64.4,0,0,0,6,75.2,90,60,0,-123456,74.8,64.4,0,0,0,23.8627,74.8,64.4,69.3,64.809,71.2,70.1,74.8,0,0,0,-123456,90,0,35.8,0,13.8,-22,0,-123456,0,0,0,-123456,-123456,5,7,0,50,68,68,68,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,6,-123456,5,25,-123456,8,0,0,-123456,4,0,-123456,0,,
0.75,74.9,90,60,0,-123456,74.5,64.4,0,0,0,6,74.8,90,60,0,-123456,74.6,64.4,0,0,0,6,75,90,60,0,-123456,74.8,64.4,0,0,0,5,75.1,90,60,0,-123456,74.7,64.4,0,0,0,6.28302,75.3,90,60,0,-123456,74.8,64.4,0,0,0,26,74.8,64.4,69.1,65.1207,71.4,70.1,74.8,0,0,0,-123456,90,0,30.6,0,21.2,-9.4,0,-123456,0,0,0,-123456,-123456,5,7,0,50,68,68,68,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,7,-123456,5,24,-123456,8,0,0,-123456,4,0,-123456,0,,
0.833333,74.9,90,60,0,-123456,74.5,64.4,0,0,0,5.84906,74.9,90,60,0,-123456,74.6,64.4,0,0,0,5.73077,75.1,90,60,0,-123456,74.8,64.4,0,0,0,5,75.1,90,60,0,-123456,74.7,64.4,0,0,0,6.09434,75.3,90,60,0,-123456,74.8,64.4,0,0,0,25.8654,74.8,64.4,69,65.3641,71.7,70.1,74.8,0,0,0,-123456,90,0,36.2,0,16.9,-19.3,0,-123456,0,0,0,-123456,-123456,5,7,0,50,68,68,68,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,6,-123456,5,25,-123456,8,0,0,-123456,4,0,-123456,0,,
0.916667,74.9,90,60,0,-123456,74.5,64.4,0,0,0,5,74.9,90,60,0,-123456,74.7,64.4,0,0,0,5.72,75.1,90,60,0,-123456,74.9,64.4,0,0,0,5,75.1,90,60,0,-123456,74.7,64.4,0,0,0,6.75472,75.3,90,60,0,-123456,74.9,64.4,0,0,0,25.6471,74.9,64.4,68.9,65.6276,71.8,70.1,74.8,0,0,0,-123456,90,0,32.7,0,13.7,-19,0,-123456,0,0,0,-123456,-123456,5,7,0,50,68,68,68,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,6,-123456,5,25,-123456,8,0,0,-123456,4,0,-123456,0,,
1,75,90,60,0,-123456,74.5,64.4,0,0,0,5,74.9,90,60,0,-123456,74.7,64.4,0,0,0,5.64,75.1,90,60,0,-123456,74.9,64.4,0,0,0,5,75,90,60,0,-123456,74.7,64.4,0,0,0,7,75.3,90,60,0,-123456,74.9,64.4,0,0,0,25.74,74.9,64.4,68.7,65.7745,72,70.1,74.9,0,0,0,-123456,90,0,31.8,0,16.6,-15.2,0,-123456,0,0,0,-123456,-123456,5,7,0,50,68,68,68,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,8,-123456,5,23,-123456,8,0,0,-123456,4,0,-123456,0,,
1.08333,75,90,60,0,-123456,74.6,64.4,0,0,0,5,74.9,90,60,0,-123456,74.7,64.4,0,0,0,5.96154,75.1,90,60,0,-123456,74.9,64.4,0,0,0,5,75,90,60,0,-123456,74.7,64.4,0,0,0,7,75.3,90,60,0,-123456,74.9,64.4,0,0,0,23.96,74.9,64.4,68.6,65.8179,72.2,70.1,74.9,0,0,0,-123456,90,0,28.6,0,19.9,-8.7,0,-123456,0,0,0,-123456,-123456,5,7,0,50,68,68,68,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,8,-123456,5,23,-123456,8,0,0,-123456,4,0,-123456,0,,
1.16667,75,90,60,0,-123456,74.6,64.4,0,0,0,5,74.9,90,60,0,-123456,74.7,64.4,0,0,0,6,75.1,90,60,0,-123456,74.9,64.4,0,0,0,5,75,90,60,0,-123456,74.7,64.4,0,0,0,6.33333,75.3,90,60,0,-123456,74.9,64.4,0,0,0,23.3654,74.9,64.4,68.5,65.8214,72.3,70.1,74.9,0,0,0,-123456,90,0,29.5,0,25.6,-3.9,0,-123456,0,0,0,-123456,-123456,5,7,0,50,68,68,68,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,8,-123456,5,23,-123456,8,0,0,-123456,4,0,-123456,0,,
1.25,74.9,90,60,0,-123456,74.6,64.4,0,0,0,5,74.9,90,60,0,-123456,74.7,64.4,0,0,0,6,75.1,90,60,0,-123456,74.9,64.4,0,0,0,5,75,90,60,0,-123456,74.7,64.4,0,0,0,6,75.3,90,60,0,-123456,74.9,64.4,0,0,0,23,74.9,64.4,68.3,65.7283,72.6,70.1,74.9,0,0,0,-123456,90,0,35,0,23,-12,0,-123456,0,0,0,-123456,-123456,5,7,0,50,68,68,68,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,9,-123456,5,22,-123456,8,0,0,-123456,4,0,-123456,0,,
1.33333,74.9,90,60,0,-123456,74.6,64.4,0,0,0,5,74.9,90,60,0,-123456,74.7,64.4,0,0,0,6,75.1,90,60,0,-123456,74.9,64.4,0,0,0,5,75.1,90,60,0,-123456,74.7,64.4,0,0,0,6,75.3,90,60,0,-123456,74.9,64.4,0,0,0,23.88,74.9,64.4,68.2,65.7317,72.9,70.1,74.9,0,0,0,-123456,90,0,30.3,0,21.1,-9.2,0,-123456,0,0,0,-123456,-123456,5,7,0,50,68,68,68,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,7,-123456,5,24,-123456,8,0,0,-123456,4,0,-123456,0,,
1.41667,74.9,90,60,0,-123456,74.6,64.4,0,0,0,5,74.9,90,60,0,-123456,74.7,64.4,0,0,0,5.88235,75.1,90,60,0,-123456,74.9,64.4,0,0,0,5,75.1,90,60,0,-123456,74.8,64.4,0,0,0,6,75.3,90,60,0,-123456,74.9,64.4,0,0,0,26,74.9,64.4,68.1,65.7352,73,70.1,74.9,0,0,0,-123456,90,0,31.6,0,18.1,-13.5,0,-123456,0,0,0,-123456,-123456,5,7,0,50,68,68,68,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,7,-123456,5,24,-123456,8,0,0,-123456,4,0,-123456,0,,
1.5,75,90,60,0,-123456,74.6,64.4,0,0,0,5.20755,74.8,90,60,0,-123456,74.7,64.4,0,0,0,6,75.1,90,60,0,-123456,74.9,64.4,0,0,0,5,75.1,90,60,0,-123456,74.8,64.4,0,0,0,6,75.3,90,60,0,-123456,74.9,64.4,0,0,0,25.7885,74.9,64.4,67.9,65.6421,73.2,70.1,74.9,0,0,0,-123456,90,0,27.1,0,16.6,-10.5,0,-123456,0,0,0,-123456,-123456,5,7,0,50,68,68,68,-123456,-123456,50,0,5,-123456,-123456,-123456,0,0,-123456,0,0,0,0,-123456,-123456,0,-123456,-123456,-123456,-123456,-123456,-123456,-123456,-123456,9,-123456,5,22,-123456,8,0,0,-123456,4,0,-123456,0,,
